abbrev,measDate,value,measUnit
CLAFTCCO,2021-08-12,361,cfs
CLAFTCCO,2021-08-13,314,cfs
CLAFTCCO,2021-08-14,299,cfs
CLAFTCCO,2021-08-15,332,cfs
CLAFTCCO,2021-08-16,345,cfs
CLAFTCCO,2021-08-17,346,cfs
CLAFTCCO,2021-08-18,330,cfs
CLAFTCCO,2021-08-19,318,cfs
CLAFTCCO,2021-08-20,290,cfs
CLAFTCCO,2021-08-21,291,cfs
CLAFTCCO,2021-08-22,354,cfs
CLAFTCCO,2021-08-23,319,cfs
CLAFTCCO,2021-08-24,292,cfs
CLAFTCCO,2021-08-25,277,cfs
CLAFTCCO,2021-08-26,226,cfs
CLAFTCCO,2021-08-27,210,cfs
CLAFTCCO,2021-08-28,204,cfs
CLAFTCCO,2021-08-29,216,cfs
CLAFTCCO,2021-08-30,214,cfs
CLAFTCCO,2021-08-31,199,cfs
CLAFTCCO,2021-09-01,172,cfs
CLAFTCCO,2021-09-02,178,cfs
CLAFTCCO,2021-09-03,194,cfs
CLAFTCCO,2021-09-04,207,cfs
CLAFTCCO,2021-09-05,187,cfs
CLAFTCCO,2021-09-06,173,cfs
CLAFTCCO,2021-09-07,164,cfs
CLAFTCCO,2021-09-08,157,cfs
CLAFTCCO,2021-09-09,137,cfs
CLAFTCCO,2021-09-10,129,cfs
CLAFTCCO,2021-09-11,114,cfs
CLAFTCCO,2021-09-12,116,cfs
CLAFTCCO,2021-09-13,119,cfs
CLAFTCCO,2021-09-14,115,cfs
CLAFTCCO,2021-09-15,112,cfs
CLAFTCCO,2021-09-16,104,cfs
CLAFTCCO,2021-09-17,96,cfs
CLAFTCCO,2021-09-18,95,cfs
CLAFTCCO,2021-09-19,68,cfs
CLAFTCCO,2021-09-20,81,cfs
CLAFTCCO,2021-09-21,90,cfs
CLAFTCCO,2021-09-22,83,cfs
CLAFTCCO,2021-09-23,78,cfs
CLAFTCCO,2021-09-24,77,cfs
CLAFTCCO,2021-09-25,72,cfs
CLAFTCCO,2021-09-26,69,cfs
CLAFTCCO,2021-09-27,63,cfs
CLAFTCCO,2021-09-28,62,cfs
CLAFTCCO,2021-09-29,66,cfs
CLAFTCCO,2021-09-30,89,cfs
CLAFTCCO,2021-10-01,84,cfs
CLAFTCCO,2021-10-02,72,cfs
CLAFTCCO,2021-10-03,65,cfs
CLAFTCCO,2021-10-04,58,cfs
CLAFTCCO,2021-10-05,56,cfs
CLAFTCCO,2021-10-06,56,cfs
CLAFTCCO,2021-10-07,69,cfs
CLAFTCCO,2021-10-08,69,cfs
CLAFTCCO,2021-10-09,64,cfs
CLAFTCCO,2021-10-10,80,cfs
CLAFTCCO,2021-10-11,85,cfs
CLAFTCCO,2021-10-12,90,cfs
CLAFTCCO,2021-10-13,104,cfs
CLAFTCCO,2021-10-14,101,cfs
CLAFTCCO,2021-10-15,102,cfs
CLAFTCCO,2021-10-16,82,cfs
CLAFTCCO,2021-10-17,81,cfs
CLAFTCCO,2021-10-18,85,cfs
CLAFTCCO,2021-10-19,89,cfs
CLAFTCCO,2021-10-20,88,cfs
CLAFTCCO,2021-10-21,76,cfs
CLAFTCCO,2021-10-22,75,cfs
CLAFTCCO,2021-10-23,75,cfs
CLAFTCCO,2021-10-24,76,cfs
CLAFTCCO,2021-10-25,76,cfs
CLAFTCCO,2021-10-26,79,cfs
CLAFTCCO,2021-10-27,88,cfs
CLAFTCCO,2021-10-28,88,cfs
CLAFTCCO,2021-10-29,86,cfs
CLAFTCCO,2021-10-30,92,cfs
CLAFTCCO,2021-10-31,97,cfs
CLAFTCCO,2021-11-01,103,cfs
CLAFTCCO,2021-11-02,93,cfs
CLAFTCCO,2021-11-03,93,cfs
CLAFTCCO,2021-11-04,97,cfs
CLAFTCCO,2021-11-05,87,cfs
CLAFTCCO,2021-11-06,85,cfs
CLAFTCCO,2021-11-07,81,cfs
CLAFTCCO,2021-11-08,83,cfs
CLAFTCCO,2021-11-09,80,cfs
CLAFTCCO,2021-11-10,78,cfs
CLAFTCCO,2021-11-11,72,cfs
CLAFTCCO,2021-11-12,54,cfs
CLAFTCCO,2021-11-13,61,cfs
CLAFTCCO,2021-11-14,78,cfs
CLAFTCCO,2021-11-15,74,cfs
CLAFTCCO,2021-11-16,72,cfs
CLAFTCCO,2021-11-17,70,cfs
CLAFTCCO,2021-11-18,57,cfs
CLAFTCCO,2021-11-19,48,cfs
CLAFTCCO,2021-11-20,81,cfs
CLAFTCCO,2021-11-21,71,cfs
CLAFTCCO,2021-11-22,59,cfs
CLAFTCCO,2021-11-23,68,cfs
CLAFTCCO,2021-11-24,67,cfs
CLAFTCCO,2021-11-25,58,cfs
CLAFTCCO,2021-11-26,43,cfs
CLAFTCCO,2021-11-27,77,cfs
CLAFTCCO,2021-11-28,71,cfs
CLAFTCCO,2021-11-29,71,cfs
CLAFTCCO,2021-11-30,62,cfs
CLAFTCCO,2021-12-01,60,cfs
CLAFTCCO,2021-12-02,59,cfs
CLAFTCCO,2021-12-03,60,cfs
CLAFTCCO,2021-12-04,60,cfs
CLAFTCCO,2021-12-05,64,cfs
CLAFTCCO,2021-12-06,55,cfs
CLAFTCCO,2021-12-07,50,cfs
CLAFTCCO,2021-12-08,60,cfs
CLAFTCCO,2021-12-09,60,cfs
CLAFTCCO,2021-12-10,55,cfs
CLAFTCCO,2021-12-11,45,cfs
CLAFTCCO,2021-12-12,24,cfs
